JD,mag,I_Magnitude,band,val
2453171.6456,15.4,0,V,V
2453172.6456,15.4,0,V,V
2453173.6518,15.5,0,V,V
2453174.6520,15.4,0,V,V
2453175.6528,15.4,0,V,V
2453177.6547,15.1,0,V,V
2453180.6416,15.3,0,V,V
2453186.6484,15.0,0,V,V
2453187.6456,14.76,0,V,V
2453188.6492,14.42,0,V,V
2453190.6585,15.10,0,V,V
2453191.6456,14.60,0,V,V
2453193.6492,15.10,0,V,V
2453194.6449,15.30,0,V,V
2453201.6476,15.50,0,V,V
2453203.6454,15.60,0,V,V
2453205.6409,15.60,0,V,V
2453206.6352,15.80,0,V,V
2453335.0162,15.92,0,V,V
2453337.0028,15.80,0,V,V
2453340.0183,15.80,0,V,V
2453340.9975,15.8,0,V,V
2453341.9890,15.57,0,V,V
2453354.7222,14.4,0,Vis.,V
2453359.9504,15.13,0,V,V
2453360.9362,15.1,0,V,V
2453369.9274,15.1,0,V,V
2453370.9168,15.18,0,V,V
2453376.0168,15.1,0,V,V
2453378.8908,16.0,0,V,V
2453379.8862,15.9,0,V,V
2453382.9047,16.0,0,V,V
2453383.717,15.9,0,Vis.,Z
2453383.8753,15.90,0,V,V
2453385.8954,15.7,0,V,V
2453386.6736,14.9,0,Vis.,V
2453386.8745,15.8,0,V,V
2453388.8628,15.7,0,V,V
2453389.8582,15.7,0,V,V
2453392.8511,15.3,0,V,V
2453398.8399,15.6,0,V,V
2453399.8312,15.9,0,V,V
2453406.5903,15.2,0,Vis.,V
2453406.8819,14.5,0,Vis.,V
2453411.6042,15.2,0,Vis.,V
2453415.8018,15.1,0,V,V
2453416.96340,15.631,0,B,V
2453416.9645,15.3,0,V,V
2453416.96526,15.001,0,V,V
2453416.96712,15.966,0,B,V
2453416.96897,15.306,0,V,V
2453416.97082,15.768,0,B,V
2453416.97267,15.347,0,V,V
2453416.97639,15.146,0,V,V
2453416.97824,15.947,0,B,V
2453416.98011,15.076,0,V,V
2453416.98196,15.532,0,B,V
2453416.98381,15.178,0,V,V
2453416.98566,15.977,0,B,V
2453416.98752,14.977,0,V,V
2453416.99309,15.966,0,B,V
2453416.99494,15.061,0,V,V
2453416.99679,15.642,0,B,V
2453416.99865,15.171,0,V,V
2453417.00051,15.934,0,B,V
2453417.00236,15.339,0,V,V
2453417.01163,15.857,0,B,V
2453417.01350,15.079,0,V,V
2453417.01535,15.684,0,B,V
2453417.01720,15.128,0,V,V
2453417.01906,15.744,0,B,V
2453417.02091,15.309,0,V,V
2453417.02277,15.534,0,B,V
2453417.02462,15.104,0,V,V
2453417.02833,15.194,0,V,V
2453417.03019,15.448,0,B,V
2453417.03205,15.259,0,V,V
2453417.03575,15.031,0,V,V
2453417.681,14.9,0,Vis.,Z
2453419.7861,14.1,0,Vis.,V
2453420.9056,14.1,0,Vis.,V
2453421.7809,15.0,0,V,V
2453422.93976,14.928,0,V,V
2453422.94231,15.371,0,B,V
2453422.94486,14.954,0,V,V
2453422.94742,15.501,0,B,V
2453422.94997,15.153,0,V,V
2453422.95252,15.448,0,B,V
2453422.95507,14.929,0,V,V
2453422.95763,15.407,0,B,V
2453422.96017,14.823,0,V,V
2453422.96273,15.464,0,B,V
2453422.96528,14.916,0,V,V
2453422.96783,15.375,0,B,V
2453422.97039,14.901,0,V,V
2453422.97294,15.616,0,B,V
2453422.97550,14.976,0,V,V
2453422.97805,15.639,0,B,V
2453422.98060,15.019,0,V,V
2453422.98315,15.441,0,B,V
2453422.98571,14.871,0,V,V
2453423.7701,15.1,0,V,V
2453429.7574,15.1,0,V,V
2453436.573,15.2,0,Vis.,V
2453436.9952,16.05,0,V,V
2453439.8174,15.9,0,V,V
2453440.4514,15.5,0,Vis.,V
2453442.7167,15.6,0,V,V
2453445.7117,14.66,0,V,V
2453446.7148,15.02,0,V,V
2453457.6837,15.40,0,V,V
2453459.6743,15.3,0,V,V
2453460.6710,15.41,0,V,V
2453461.6699,15.47,0,V,V
2453462.465,14.9,0,Vis.,Z
2453463.4514,15.3,0,V,V
2453463.6591,15.6,0,V,V
2453464.7063,14.5,0,Vis.,V
2453465.4,14.9,0,Vis.,Z
2453466.6546,15.80,0,V,V
2453468.6507,15.6,0,V,V
2453468.6951,14.9,0,Vis.,V
2453469.4,14.9,0,Vis.,Z
2453469.514,14.9,0,Vis.,V
2453469.6875,14.9,0,Vis.,V
2453469.68984,16.511,0,B,V
2453469.69308,15.616,0,V,V
2453469.69633,16.700,0,B,V
2453469.69958,15.942,0,V,V
2453469.70282,15.947,0,B,V
2453469.70608,15.933,0,V,V
2453469.71257,15.978,0,V,V
2453469.71581,16.071,0,B,V
2453469.71906,15.536,0,V,V
2453469.72231,15.964,0,B,V
2453469.72556,15.519,0,V,V
2453469.72881,16.132,0,B,V
2453469.73205,15.829,0,V,V
2453469.73530,15.829,0,B,V
2453469.73855,16.024,0,V,V
2453469.74179,16.450,0,B,V
2453469.74505,15.605,0,V,V
2453469.74829,15.634,0,B,V
2453469.75154,15.437,0,V,V
2453469.75479,16.320,0,B,V
2453469.75803,15.653,0,V,V
2453469.76128,16.704,0,B,V
2453469.76453,15.672,0,V,V
2453469.76778,16.324,0,B,V
2453469.77102,15.657,0,V,V
2453469.77427,16.772,0,B,V
2453469.77752,15.854,0,V,V
2453469.78076,16.367,0,B,V
2453469.78402,15.436,0,V,V
2453469.78726,16.076,0,B,V
2453469.79051,15.572,0,V,V
2453469.79376,16.311,0,B,V
2453469.79700,15.775,0,V,V
2453469.80025,16.016,0,B,V
2453469.80350,16.022,0,V,V
2453469.80675,16.415,0,B,V
2453469.81000,15.846,0,V,V
2453469.81324,16.368,0,B,V
2453469.81649,15.638,0,V,V
2453469.81973,16.324,0,B,V
2453469.82299,15.793,0,V,V
2453469.82623,16.645,0,B,V
2453469.82948,15.644,0,V,V
2453469.83273,16.387,0,B,V
2453469.83597,15.693,0,V,V
2453469.83922,16.665,0,B,V
2453469.84247,15.873,0,V,V
2453469.84572,16.357,0,B,V
2453469.84896,15.917,0,V,V
2453469.85221,16.560,0,B,V
2453469.85546,15.807,0,V,V
2453469.85870,16.516,0,B,V
2453469.86196,15.572,0,V,V
2453469.86520,16.696,0,B,V
2453469.86845,15.922,0,V,V
2453469.87170,16.619,0,B,V
2453469.87494,15.843,0,V,V
2453469.87819,16.439,0,B,V
2453469.88144,15.746,0,V,V
2453469.88469,16.354,0,B,V
2453469.88793,15.597,0,V,V
2453469.89118,16.973,0,B,V
2453469.89443,15.541,0,V,V
2453469.89767,16.597,0,B,V
2453469.90093,15.808,0,V,V
2453469.90417,16.316,0,B,V
2453469.90742,15.539,0,V,V
2453469.91067,17.009,0,B,V
2453469.91391,15.603,0,V,V
2453469.91716,16.140,0,B,V
2453469.92040,16.016,0,V,V
2453469.92366,16.295,0,B,V
2453469.92691,16.164,0,V,V
2453469.93015,16.344,0,B,V
2453469.93340,16.360,0,V,V
2453469.93664,16.503,0,B,V
2453469.93990,16.123,0,V,V
2453469.94315,16.223,0,B,V
2453469.94639,15.863,0,V,V
2453469.95288,15.762,0,V,V
2453469.95613,16.124,0,B,V
2453469.95938,15.826,0,V,V
2453469.96588,15.611,0,V,V
2453469.97237,15.747,0,V,V
2453470.7354,14.9,0,Vis.,V
2453471.401,14.9,0,Vis.,Z
2453471.526,15.2,0,Vis.,V
2453472.396,14.9,0,Vis.,Z
2453472.496,14.9,0,Vis.,V
2453472.6471,16.0,0,V,V
2453472.7174,14.1,0,Vis.,V
2453473.6660,14.9,0,Vis.,V
2453474.4410,15.5,0,V,V
2453474.6798,15.4,0,V,V
2453475.6644,15.1,0,V,V
2453475.7285,14.9,0,Vis.,V
2453476.7478,15.23,0,V,V
2453477.479,14.9,0,Vis.,V
2453478.68864,15.390,0,V,V
2453478.69187,16.085,0,B,V
2453478.69513,15.385,0,V,V
2453478.69837,16.195,0,B,V
2453478.70162,15.066,0,V,V
2453478.70486,15.810,0,B,V
2453478.70811,15.055,0,V,V
2453478.71136,17.356,0,B,V
2453478.71461,15.749,0,V,V
2453478.71786,17.009,0,B,V
2453478.72110,15.347,0,V,V
2453478.72435,16.888,0,B,V
2453478.72760,15.156,0,V,V
2453478.73410,15.349,0,V,V
2453478.73734,16.764,0,B,V
2453478.74059,15.718,0,V,V
2453478.74383,16.939,0,B,V
2453478.74708,15.456,0,V,V
2453478.75032,17.129,0,B,V
2453478.75358,15.377,0,V,V
2453478.75683,16.765,0,B,V
2453478.76007,15.529,0,V,V
2453478.76332,16.638,0,B,V
2453478.76656,15.569,0,V,V
2453478.76981,16.876,0,B,V
2453478.77307,15.943,0,V,V
2453478.77631,16.952,0,B,V
2453478.77956,15.362,0,V,V
2453478.78280,16.535,0,B,V
2453478.78605,15.589,0,V,V
2453478.78929,17.149,0,B,V
2453478.79255,15.446,0,V,V
2453478.79580,16.419,0,B,V
2453478.79904,15.436,0,V,V
2453478.80229,16.538,0,B,V
2453478.80553,15.547,0,V,V
2453478.80878,15.974,0,B,V
2453478.81204,15.493,0,V,V
2453478.81528,16.327,0,B,V
2453478.82177,16.261,0,B,V
2453478.82502,15.273,0,V,V
2453478.82828,16.167,0,B,V
2453478.83152,15.462,0,V,V
2453478.83477,16.833,0,B,V
2453478.83801,15.830,0,V,V
2453478.84126,16.505,0,B,V
2453478.84451,15.550,0,V,V
2453478.84775,16.706,0,B,V
2453478.85101,15.518,0,V,V
2453478.85425,16.602,0,B,V
2453478.85750,15.912,0,V,V
2453478.86074,16.950,0,B,V
2453478.86399,15.922,0,V,V
2453478.86724,17.534,0,B,V
2453478.87049,15.897,0,V,V
2453478.87374,17.449,0,B,V
2453478.87698,16.005,0,V,V
2453478.88023,17.204,0,B,V
2453478.88347,15.661,0,V,V
2453478.88673,16.841,0,B,V
2453478.88998,15.540,0,V,V
2453478.89322,16.268,0,B,V
2453478.89647,15.596,0,V,V
2453478.89971,16.249,0,B,V
2453478.90296,15.663,0,V,V
2453478.90620,16.279,0,B,V
2453478.90946,15.905,0,V,V
2453478.91271,16.603,0,B,V
2453478.91595,15.799,0,V,V
2453478.91920,16.370,0,B,V
2453478.92895,15.129,0,V,V
2453478.93219,16.297,0,B,V
2453478.93544,15.052,0,V,V
2453478.94193,15.590,0,V,V
2453478.94843,15.607,0,V,V
2453478.95492,15.805,0,V,V
2453479.499,14.5,0,Vis.,V
2453479.7125,15.39,0,V,V
2453480.66091,15.189,0,V,V
2453480.66844,15.958,0,V,V
2453480.67595,15.652,0,V,V
2453480.68347,16.570,0,V,V
2453480.69098,16.223,0,V,V
2453480.69851,15.483,0,V,V
